id,title,slug,category,short_description,image,prep_time,cook_time,servings,ingredients,instructions,health_note,benefits,source,tags
1,Dal Curry,dal-curry,Dinner,Classic comfort curry made with toor dal and spices.,,10 min (soaking),40 min,Father – 1 bowl (low oil and salt); Mother – 1 bowl; Daughter – 1 bowl (balanced seasoning); Son – 1.5 bowls (full seasoning and oil),1 cup toor dal (soaked overnight)||1 onion (chopped)||2 tomatoes (chopped)||1 tsp ginger-garlic paste||1/2 tsp turmeric powder||1 tbsp coriander powder||1/2 tsp red chili powder||1 tsp cumin seeds||1 tbsp oil||Salt to taste,"1. Pressure cook soaked dal until soft.||2. Heat oil; add cumin seeds, sauté onion and ginger-garlic until golden.||3. Add tomatoes, turmeric, coriander, chili powder; cook till oil separates.||4. Add cooked dal, salt, and simmer 10 min.||5. Serve with rice or chapati.","Adjust oil, salt, and chili as per health needs of each member.",High in protein and fiber; supports heart health and digestion.,Dal Curry YouTube Shorts,"dal,curry,dinner,lentils"
2,Dal Soup,dal-soup,Dinner,"Light, protein-packed soup made with moong dal and mild spices.",,10 min,20 min,Father – 1 bowl (low oil and salt); Mother – 1 bowl (moderate seasoning); Daughter – 1 bowl (balanced seasoning); Son – 1.5 bowls (regular oil and salt),1/2 cup moong dal||1 tomato (chopped)||1/2 tsp cumin seeds||Salt to taste||Water as needed||1 tsp oil,"1. Rinse moong dal and pressure cook with water until soft.||2. Heat oil, sauté cumin and tomato until soft.||3. Add cooked dal; mix and simmer 5 min.||4. Season lightly and serve hot.",Adjust oil and salt based on dietary requirements for each family member.,"Light, digestible, and immune boosting; rich in protein.",Dal Soup YouTube,"dal,soup,healthy,dinner"
3,Egg Chapati Roll,egg-chapati-roll,Dinner,Healthy and filling egg-stuffed chapati wraps.,,10 min,10 min,Father – 1 roll (less oil and salt); Mother – 1 roll (moderate seasoning); Daughter – 1 roll (balanced seasoning); Son – 2 rolls (full seasoning),4 chapatis||4 eggs||1 small onion (chopped)||1 green chili (chopped)||Salt (as required)||Pepper to taste||Oil for cooking,"1. Beat eggs with salt, pepper, onion, chili.||2. Heat pan; cook omelette using oil as per need.||3. Place omelette on chapati.||4. Roll tightly and serve warm.",Modify oil and salt for heart and activity considerations.,Balanced protein and carbs for all ages; great for dinner-on-the-go.,Egg Chapati Roll YouTube,"egg,chapati,roll,dinner,protein"
4,Peanut Balls,peanut-balls,Snacks,"No-cook energy bites made with peanuts, oats, and natural sweeteners.",,10 min,None,Father – 3 balls; Mother – 4 balls; Daughter – 4 balls; Son – 5 balls,1 cup roasted peanuts||2 tbsp natural peanut butter||1/4 cup rolled oats||2 tbsp jaggery or dates||Pinch of salt||1 tbsp chia seeds (optional),"1. Grind peanuts and oats to coarse powder.||2. Mix with peanut butter, jaggery, salt, and chia seeds to form sticky dough.||3. Shape into balls and refrigerate 20 min.",Father: Reduce jaggery; add chia seeds. Son: Use full jaggery for energy.,High protein and healthy fats; chia adds omega-3s.,Peanut butter Energy bites YouTube,"peanut,energy,snack"
5,Garlic Peanuts Salad,garlic-peanuts-salad,Snacks,Crunchy warm salad with garlic-infused peanuts and fresh veggies.,,10 min,5 min,Father – 1/2 cup; Mother – 1/2 cup; Daughter – 1/2 cup; Son – 3/4 cup,1 cup boiled peanuts||2 tbsp olive oil||4-6 garlic cloves (sliced)||1 tomato (diced)||1/2 cucumber (diced)||1/2 onion (diced)||1 tbsp lemon juice||Salt to taste,"1. Heat oil, sauté garlic till golden; remove.||2. Roast peanuts lightly.||3. Mix all ingredients in bowl with garlic and lemon juice.||4. Toss and serve fresh.",Father: Minimal salt/oil. Son: Moderate oil and lemon.,Garlic supports heart health; peanuts and veggies add protein and antioxidants.,Garlic peanuts YouTube short,"peanut,garlic,salad,snack"
6,Red Aval Mix (Sweet Poha),red-aval-mix,Snacks,Sweetened red poha with coconut and jaggery.,,10 min,5 min,Father – 1/2 cup; Mother – 1/2 cup; Daughter – 1/2 cup; Son – 3/4 cup,1 cup thick red poha||1/4 cup grated coconut||1/3 cup jaggery||1/2 tsp cardamom powder||1 tbsp raisins and cashews (optional)||1 tsp ghee or oil,"1. Rinse poha, drain.||2. Dissolve jaggery with 2 tbsp water, add cardamom.||3. Add poha, coconut, and nuts.||4. Mix with ghee and serve warm.",Father: Reduce coconut/ghee. Son: Use full quantities.,"Provides iron, fiber, antioxidants; jaggery gives minerals.",Red Aval Mix YouTube,"poha,sweet,snack"
7,Mini Masala Idlis,mini-masala-idlis,Snacks,Bite-sized spiced idlis tossed with tempered onions and chilies.,,10 min,15 min,Father – 4 idlis; Mother – 5 idlis; Daughter – 5 idlis; Son – 6 idlis,2 cups idli batter||1/2 tsp mustard seeds||1/4 tsp cumin seeds||1 onion (chopped)||1 green chili (chopped)||Curry leaves||1 tsp oil||Salt to taste,"1. Steam mini idlis.||2. Heat oil, add spices, onion, chili, leaves.||3. Toss idlis in mix and serve hot.",Father: Less oil/salt. Son: Normal oil allowed.,Fermented idlis support gut health; low fat source of protein.,Mini Masala Idlis YouTube short,"idli,masala,snack"
8,Tulsi Ginger Tea,tulsi-ginger-tea,Tea,Refreshing herbal tea made with tulsi and ginger.,,5 min,10 min,Father – 1 cup; Mother – 1 cup; Daughter – 1 cup; Son – 1 cup,10 tulsi leaves||1-inch ginger (sliced)||3 cups water||Honey (optional),1. Boil tulsi and ginger in water for 7 min.||2. Strain and add honey if desired. Serve warm.,Father: Skip honey. Son: Small amount okay.,"Boosts immunity, reduces stress; ginger aids digestion.",Tulsi Ginger Tea YouTube,"tulsi,ginger,tea,drink"
9,Barley Water,barley-water,Drinks,Hydrating natural drink made from boiled barley and lemon.,,5 min,20 min,Father – 1 glass; Mother – 1 glass; Daughter – 1 glass; Son – 1 glass,1/3 cup barley||4 cups water||Juice of half lemon,"1. Rinse barley, boil 15-20 min.||2. Strain and add lemon juice.||3. Serve chilled.",Father: No sugar. Son: Lemon adds vitamin C.,Supports hydration and digestion; low calorie.,Barley Water YouTube,"barley,drink,hydration"
10,Black Light Tea,black-light-tea,Tea,"Light, mildly sweet black tea for an antioxidant boost.",,5 min,10 min,Father – 1 cup; Mother – 1 cup; Daughter – 1 cup; Son – 1 cup,2 tsp black tea||4 cups water||Honey or jaggery (optional),1. Boil water with tea leaves 5-7 min.||2. Strain. Add minimal sweetener if desired.,Father: Minimal or no sweetener. Son: Moderate sweet allowed.,Antioxidant-rich; improves alertness.,Typical recipe,"black-tea,antioxidant,drink"
